Name ,Sport,Contact,Website,Address,District,Latitude,Longitude
Jets Gymnastics Grovedale,Gymnastics,03 4206 0064,https://www.jetsgym.com.au/jets-grovedale/,"12 Essington St, Grovedale VIC 3216",Grovedale VIC 3216,,
Oz Tenpin Geelong Bowling,Tenpin Bowling,(03) 5241 2200,https://www.oztenpin.com.au/our-locations/geelong-2/#,"49 Reynolds Rd, Belmont VIC 3216",Belmont VIC 3216,,
Wandana Heights Tennis Club,Tennis,(03)52456538,https://play.tennis.com.au/wandanaheightstennisclub,"7A Wandana Dr, Wandana Heights VIC 3216",Wandana Heights VIC 3216,,
YMCA Eaglehawk Leisure Centre,Aquatics,03 5446 9222,https://peterkrenzleisure.com.au/,"Napier Street, Eaglehawk VIC 3556",Eaglehawk VIC 3556,,
Bendigo Bowling Centre,Tenpin Bowling,(03)54439944,http://bendigobowlingcentre.com.au/,"159 Hargreaves Street, Bendigo VIC 3550",Bendigo VIC 3550,,
Dandenong Oasis,Aquatics,9767 3100,https://www.dandenongoasis.com.au/,"Heatherton Road & Cleeland Street, Dandenong VIC 3175",Dandenong VIC 3175,,
Dandenong Stadium,Basketball,(03) 9794 7192,https://dandenongstadium.com.au/,"270 Stud Road, Dandenong VIC 3175",Dandenong VIC 3175​,,
Freccia Azzurra Club,Bocce,(03) 9701-8888,http://www.freccia.com.au/,"784-796 Springvale Road, Braeside VIC 3195",Braeside VIC 3195,,
Endeavour Hills YMCA,Gymnastics,(03) 9213 1400,https://www.ehlc.ymca.org.au/,"10 Raymond McMahon Boulevard, Endeavour Hills VIC 3802",Endeavour Hills VIC 3802,,
Berwick Leisure Centre YMCA,Gymnastics,(03) 9707 3371,https://www.berwick.ymca.org.au/,"79 Manuka Road, Berwick VIC 3806",Berwick VIC 3806,,
Oz Tenpin Narre Warren SuperBowl,Tenpin Bowling,(03) 9704 2955,https://www.oztenpin.com.au/our-locations/narre-warren-2/,"22 Lauderdale Road, Narre Warren VIC 3805",Narre Warren VIC 3805,,
Echuca War Memorial Aquatic Centre,Swimming,03 5483 9698,https://www.campaspeaquatics.com.au/Pools/Echuca-War-Memorial-Aquatic-Centre,"Corner of High and Service Streets, Echuca VIC 3564",Echuca VIC 3564,,
Oz Tenpin Star Bowl,Tenpin Bowling,(03) 5821 5587,https://www.oztenpin.com.au/our-locations/shepparton-2/,"122 Fryers St, Shepparton VIC 3630",Shepparton VIC 3630,,
Veneto Club,Bocce,9850 7111,https://www.venetoclubmelbourne.com.au/,"191 Bulleen Road, Bulleen VIC 3105",Bulleen VIC 3105,,
Waves Leisure Centre,Aquatics,9559 7111,https://kingstonactive.com.au/,"111 Chesterville Rd, Highett VIC 3190",Highett VIC 3190,,
