,Name ,Sport,Contact,Address,District,Level
45,ZONE BOWLING Moorabbin,Tenpin Bowling,03 9021 1403,"938 Nepean Hwy, Moorabbin VIC 3189",Moorabbin VIC 3189,Simple
46,RDA Peninsula,Riding,08 8354 4555,"1135 Moorooduc Road, Moorooduc VIC 3933",Moorooduc VIC 3933,Hard
47,Mordialloc Community Centre,Gymnastics,9580 3675,"115A Warren Rd, Mordialloc VIC 3195",Mordialloc VIC 3195,Hard
48,Parkdale Secondary College,Basketball,03 9580-6311,"116 Warren Rd, Mordialloc VIC 3195",Mordialloc VIC 3195,Middle
49,Mornington Tennis Centre,Tennis,0359 756 124,"350 Dunns Road, Mornington VIC 3931",Mornington VIC 3931,Middle
50,RDA Mornington Carriage Driving,Riding,08 8354 4555,"Mornington Racecourse, Mornington VIC 3931",Mornington VIC 3931,Hard
51,RDA Ballarat,Riding,08 8354 4555,"University of Ballarat Equine Centre, Rosehill Road, Mt Rowan VIC 3352",Mt Rowan VIC 3352,Hard
52,RDA Myrtleford,Riding,08 8354 4555,"36 Clyde Street, Myrtleford VIC 3737",Myrtleford VIC 3737,Hard
53,Oz Tenpin Narre Warren SuperBowl,Tenpin Bowling,(03) 9704 2955,"22 Lauderdale Road, Narre Warren VIC 3805",Narre Warren VIC 3805,Simple
54,Leisuretime Sports Precinct,"Athletics, Basketball",03  5272 4990,"262-282 Anakie Rd, Norlane VIC 3214",Norlane VIC 3214,"Simple,Middle"
55,RDA Pakenham,Riding,08 8354 4555,"775 Five Mile Road, Pakenham VIC 3810",Pakenham VIC 3810,Hard
56,Mentone Tennis Club,Tennis,400874966,"First St &, Nepean Hwy, Parkdale VIC 3195",Parkdale VIC 3195,Middle
57,RDA Melton,Riding,08 8354 4555,"976 Leakes Road, Rockbank VIC 3335",Rockbank VIC 3335,Hard
58,Knox Italian Community Club,Bocce,0418 798 987,"99 Karoo Road, Rowville VIC 3178",Rowville VIC 3178,Hard
59,RDA Seymour,Riding,08 8354 4555,"Kings Park, Tallarook Street, Seymour VIC 3660",Seymour VIC 3660,Hard
60,Oz Tenpin Star Bowl,Tenpin Bowling,(03) 5821 5587,"122 Fryers St, Shepparton VIC 3630",Shepparton VIC 3630,Simple
61,RDA Shepparton,Riding,08 8354 4555,"William Orr GOTAFE Campus, Wanganui Road, Shepparton VIC 3660",Shepparton VIC 3660,Hard
62,RDA St Andrews,Riding,08 8354 4555,"180 Clintons Road, Smiths Gully VIC 3760",Smiths Gully VIC 3760,Hard
63,Core 24 Somerville,Aquatics,0403 749 723,"55 Grant Road, Somerville VIC 3912",Somerville VIC 3912,Middle
64,RDA Stawell,Riding,08 8354 4555,"49 Bulgana Road, Stawell VIC 3380",Stawell VIC 3380,Hard
65,MSA,Netball,0429 332 008,"98-100 Gray Street, Swan Hill VIC 3585",Swan Hill VIC 3585,Hard
66,RDA Swan Hill,Riding,08 8354 4555,"21 Tyntynder South Road, Tyntynder South VIC 3586",Tyntynder South 3586,Hard
67,RDA Viewbank,Riding,08 8354 4555,"332 Banyule Road, Viewbank  VIC 3084",Viewbank  VIC 3084,Hard
68,RDA Barwon,Riding,08 8354 4555,"Koombahla Park, Wallington Road, Wallington VIC 3221",Wallington VIC 3221,Hard
69,Wandana Heights Tennis Club,Tennis,(03)52456538,"7A Wandana Dr, Wandana Heights VIC 3216",Wandana Heights VIC 3216,Middle
70,RDA Knox,Riding,08 8354 4555,Wantirna South VIC 3152,Wantirna South VIC 3152,Hard
71,RDA Warracknabeal,Riding,08 8354 4555,"Warracknabeal Racecourse, Henty Highway, Warracknabeal VIC 3393",Warracknabeal VIC 3393,Hard
72,RDA Warragul,Riding,08 8354 4555,"Logan Park, Howitt Street, Warragul VIC 3820",Warragul VIC 3820,Hard
73,RDA Warrandyte,Riding,08 8354 4555,"72-84 Husseys Lane, Warrandyte VIC 3113",Warrandyte VIC 3113,Hard
74,Leisurelink Aquatic & Recreation Centre,Aquatics,03 5243 9595,"240 Pioneer Rd, Waurn Ponds VIC 3216",Waurn Ponds VIC 3216,Middle
75,Ballarat Sports Events Centre,Basketball,5320 5500,"989 Norman Street, Wendouree VIC 3355",Wendouree VIC 3355,Middle
76,RDA Woolamai,Riding,08 8354 4555,"54 Trew Road, Woolamai  VIC 3995",Woolamai  VIC 3995,Hard
77,MSA,Netball,0427 780 109,"280 Broadway, Wycheproof VIC 3527",Wycheproof VIC 3527,Hard
